date,site,depth_range_m,deep_ft,shallow_ft,deep_m,shallow_m,divers,net_type,net_num,clarity,bedrock,boulder,cobble,gravel,small_gravel,sand,silt,hard_clay,veg_low,veg_mid,veg_high,clad,veg_cover,veg_1,veg_2,veg_3,veg_4,veg_5
7/7/2023,PEP2,40-35,40,35,12.2,10.6,PB,CORE,10 & 20,4.8,0,0,0,0,0,20,80,0,P,A,A,UNK,30,0.1,0.1,0.1,0.2,0.2
7/7/2023,PEP2,48-45,48,45,14.6,13.7,RAL,CORE,10 & 20,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,40,0.1,0.1,0.1,0.1,0.1
7/8/2023,PEP3,45-40,45,40,13.7,12.2,RAL,CORE,10&20,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,40,0.1,0.1,0.1,0.1,0.1
7/7/2023,PEP2,40-35,40,35,12.2,10.6,RAL,CORE,10 & 20,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,20,0.1,0.1,0.1,0.1,0.2
7/7/2023,PEP2,35-30,35,30,10.6,9.1,RAL,CORE,10 & 20,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,10,0.1,0.1,0.4,0.2,0.2
7/7/2023,PEP2,30-25,30,25,9.1,7.6,RAL,CORE,10 & 20,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,3,0.1,0.1,0.1,0.11,0.3
7/7/2023,PEP2,25-20,25,20,7.6,6.1,RAL,CORE,10 & 20,4.8,0,0,0,0,0,0,0,100,P,P,A,UNK,1,0.1,0.3,0.3,0.3,0.8
7/7/2023,PEP2,20-15,20,15,6.1,4.6,RAL,CORE,10 & 20,4.8,2,0,0,0,0,0,0,98,P,P,A,UNK,15,0.1,0.3,0.3,0.3,0.8
7/7/2023,PEP2,15-10,15,10,4.6,3.0,RAL,CORE,10 & 20,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,10,0.1,0.3,0.3,0.5,0.5
7/7/2023,PEP2,10-5,10,5,3.0,1.5,RAL,CORE,10 & 20,4.8,0,0,0,0,0,0,0,100,P,P,A,UNK,10,0.1,0.1,0.1,0.3,1
7/7/2023,PEP2,5-2,5,2,1.5,0.6,RAL,CORE,10 & 20,4.8,0,0,100,0,0,0,0,0,A,A,A,P,0,0,0,0,0,0
7/7/2023,PEP2,25-20,25,20,7.6,6.1,LK,EXP,1 to 8,4.8,0,0,0,0,0,10,90,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,PEP2,20-15,20,15,6.1,4.6,LK,EXP,1 to 8,4.8,0,0,0,0,0,15,85,0,P,A,A,UNK,5,0.1,0.1,0.1,0.3,0.3
7/7/2023,PEP2,15-10,15,10,4.6,3.0,LK,EXP,1 to 8,4.8,0,0,0,0,0,80,20,0,P,A,A,UNK,25,0.1,0.1,0.1,0.3,0.3
7/7/2023,PEP2,10-5,10,5,3.0,1.5,LK,EXP,1 to 8,4.8,0,0,0,0,50,50,0,0,P,P,A,UNK,40,1,1,0.3,0.3,0.5
7/7/2023,PEP2,5-0,5,0,1.5,0.0,LK,EXP,1 to 8,4.8,0,90,5,5,0,0,0,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,PEP2,35-30,35,30,10.6,9.1,LK,EXP,1 to 8,4.8,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,PEP2,30-25,30,25,9.1,7.6,LK,EXP,1 to 8,4.8,0,0,0,0,0,0,100,0,A,A,A,UNK,0,0,0,0,0,0
7/7/2023,PEP2,25-20,25,20,7.6,6.1,SAB,EXP,1 to 8,4.8,0,20,0,0,0,20,60,0,P,P,A,UNK,40,0.1,0.3,0.3,1,1
7/7/2023,PEP2,20-15,20,15,6.1,4.6,SAB,EXP,1 to 8,4.8,0,10,0,0,0,70,20,0,P,P,A,UNK,50,0.3,0.3,0.5,1,1
7/7/2023,PEP2,15-10,15,10,4.6,3.0,SAB,EXP,1 to 8,4.8,0,20,0,0,20,60,0,0,P,P,A,P,60,0.1,0.2,0.3,0.5,1
7/7/2023,PEP2,10-5,10,5,3.0,1.5,SAB,EXP,1 to 8,4.8,0,30,10,10,10,40,0,0,A,A,A,P,0,0,0,0,0,0
7/7/2023,PEP2,5-0,5,0,1.5,0.0,SAB,EXP,1 to 8,4.8,0,50,20,10,10,10,0,0,A,A,A,P,0,0,0,0,0,0
7/7/2023,PEP2,35-30,35,30,10.6,9.1,SAB,EXP,1 to 8,4.8,0,0,0,0,0,0,100,0,P,A,A,UNK,1,0.1,0,0,0,0
7/7/2023,PEP2,30-25,30,25,9.1,7.6,SAB,EXP,1 to 8,4.8,0,5,0,0,0,0,95,0,P,A,A,UNK,1,0.1,0,0,0,0
7/7/2023,PLQ2,30-25,30,25,9.1,7.6,RAL,EXP,1 to 9,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,8,0.1,0.1,0.1,0.3,0.3
7/7/2023,PLQ2,25-20,25,20,7.6,6.1,RAL,EXP,1 to 9,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,15,0.1,0.1,0.1,0.1,0.1
7/7/2023,PLQ2,20-15,20,15,6.1,4.6,RAL,EXP,1 to 9,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,80,0.1,0.1,0.5,0.5,0.1
7/7/2023,PLQ2,15-10,15,10,4.6,3.0,RAL,EXP,1 to 9,4.8,0,0,0,0,0,0,0,100,P,A,A,UNK,35,0.1,0.2,0.2,0.5,0.1
7/7/2023,PLQ2,10-5,10,5,3.0,1.5,RAL,EXP,1 to 9,4.8,1,0,0,0,0,0,0,99,P,P,A,UNK,60,0.1,0.1,0.1,0.8,0.1
